THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
สี่สิบแปด	sìi sìp bpàaet	48 (forty-eight)	40 + 8.	สี่, สิบ, แปด
ห้าสิบ	hâa sìp	50 (fifty)	5 × 10.	ห้า, สิบ
ห้าสิบห้า	hâa sìp hâa	55 (fifty-five)	50 + 5.	ห้า, สิบ, ห้า
หกสิบสาม	hòk sìp sǎam	63 (sixty-three)	60 + 3.	หก, สิบ, สาม
หกสิบเจ็ด	hòk sìp jèt	67 (sixty-seven)	60 + 7.	หก, สิบ, เจ็ด
เจ็ดสิบสอง	jèt sìp sǎawng	72 (seventy-two)	70 + 2.	เจ็ด, สิบ, สอง
เจ็ดสิบเก้า	jèt sìp gâo	79 (seventy-nine)	70 + 9.	เจ็ด, สิบ, เก้า
แปดสิบสี่	bpàaet sìp sìi	84 (eighty-four)	80 + 4.	แปด, สิบ, สี่
แปดสิบหก	bpàaet sìp hòk	86 (eighty-six)	80 + 6.	แปด, สิบ, หก
เก้าสิบสาม	gâo sìp sǎam	93 (ninety-three)	90 + 3.	เก้า, สิบ, สาม
เก้าสิบแปด	gâo sìp bpàaet	98 (ninety-eight)	90 + 8.	เก้า, สิบ, แปด
หนึ่งร้อยสี่	nʉ̀ng rɔ́ɔi sìi	104 (one hundred four)	100 + 4.	หนึ่ง, ร้อย, สี่
หนึ่งร้อยเก้า	nʉ̀ng rɔ́ɔi gâo	109 (one hundred nine)	100 + 9.	หนึ่ง, ร้อย, เก้า
หนึ่งร้อยสิบ	nʉ̀ng rɔ́ɔi sìp	110 (one hundred ten)	100 + 10.	หนึ่ง, ร้อย, สิบ
หนึ่งร้อยสิบแปด	nʉ̀ng rɔ́ɔi sìp bpàaet	118 (one hundred eighteen)	100 + 18.	หนึ่ง, ร้อย, สิบ, แปด
หนึ่งร้อยยี่สิบหก	nʉ̀ng rɔ́ɔi yîi sìp hòk	126 (one hundred twenty-six)	100 + 26.	หนึ่ง, ร้อย, ยี่, สิบ, หก
หนึ่งร้อยยี่สิบเจ็ด	nʉ̀ng rɔ́ɔi yîi sìp jèt	127 (one hundred twenty-seven)	100 + 27.	หนึ่ง, ร้อย, ยี่, สิบ, เจ็ด
สองร้อยห้าสิบเอ็ด	sǎawng rɔ́ɔi hâa sìp èt	251 (two hundred fifty-one)	200 + 51.	สอง, ร้อย, ห้า, สิบ, เอ็ด
ห้าร้อยสี่สิบแปด	hâa rɔ́ɔi sìi sìp bpàaet	548 (five hundred forty-eight)	500 + 48.	ห้า, ร้อย, สี่, สิบ, แปด
หนึ่งหมื่นสองร้อยสิบห้า	nʉ̀ng mʉ̀ʉn sǎawng rɔ́ɔi sìp hâa	10,215 (ten thousand two hundred fifteen)	10,000 + 215.	หนึ่ง, หมื่น, สอง, ร้อย, สิบ, ห้า
หนึ่งหมื่นแปดพันเก้าร้อยสี่สิบเก้า	nʉ̀ng mʉ̀ʉn bpàaet phan gâo rɔ́ɔi sìi sìp gâo	18,949 (eighteen thousand nine hundred forty-nine)	10,000 + 8,000 + 949.	หนึ่ง, หมื่น, แปด, พัน, เก้า, ร้อย, สี่, สิบ, เก้า
สามแสนสี่หมื่นแปดพันสี่ร้อยสิบห้า	sǎam sǎen sìi mʉ̀ʉn bpàaet phan sìi rɔ́ɔi sìp hâa	348,415 (three hundred forty-eight thousand four hundred fifteen)	300,000 + 40,000 + 8,000 + 415.	สาม, แสน, สี่, หมื่น, แปด, พัน, สี่, ร้อย, สิบ, ห้า
เก้าแสนสี่หมื่นแปดพันห้าร้อยสิบสี่	gâo sǎen sìi mʉ̀ʉn bpàaet phan hâa rɔ́ɔi sìp sìi	948,514 (nine hundred forty-eight thousand five hundred fourteen)	900,000 + 40,000 + 8,000 + 514.	เก้า, แสน, สี่, หมื่น, แปด, พัน, ห้า, ร้อย, สิบ, สี่
ห้าล้านสี่แสนหกหมื่นห้าพันหนึ่งร้อยเจ็ดสิบสอง	hâa láan sìi sǎen hòk mʉ̀ʉn hâa phan nʉ̀ng rɔ́ɔi jèt sìp sǎawng	5,465,172 (five million four hundred sixty-five thousand one hundred seventy-two)	5M + 400k + 60k + 5k + 172.	ห้า, ล้าน, สี่, แสน, หก, หมื่น, ห้า, พัน, หนึ่ง, ร้อย, เจ็ด, สิบ, สอง
เจ็ดล้านสี่แสนแปดหมื่นสี่พันห้าร้อยยี่สิบเอ็ด	jèt láan sìi sǎen bpàaet mʉ̀ʉn sìi phan hâa rɔ́ɔi yîi sìp èt	7,484,521 (seven million four hundred eighty-four thousand five hundred twenty-one)	7M + 400k + 80k + 4k + 521.	เจ็ด, ล้าน, สี่, แสน, แปด, หมื่น, สี่, พัน, ห้า, ร้อย, ยี่, สิบ, เอ็ด
สิบห้าล้านเก้าแสนหนึ่งหมื่นห้าพันเก้าร้อยสี่สิบห้า	sìp hâa láan gâo sǎen nʉ̀ng mʉ̀ʉn hâa phan gâo rɔ́ɔi sìi sìp hâa	15,915,945 (fifteen million nine hundred fifteen thousand nine hundred forty-five)	15M + 900k + 15k + 945.	สิบ, ห้า, ล้าน, เก้า, แสน, หนึ่ง, หมื่น, ห้า, พัน, เก้า, ร้อย, สี่, สิบ, ห้า
แปดสิบสี่ล้านหกแสนเจ็ดหมื่นห้าพันสี่ร้อยยี่สิบสาม	bpàaet sìp sìi láan hòk sǎen jèt mʉ̀ʉn hâa phan sìi rɔ́ɔi yîi sìp sǎam	84,675,423 (eighty-four million six hundred seventy-five thousand four hundred twenty-three)	84M + 600k + 70k + 5k + 423.	แปด, สิบ, สี่, ล้าน, หก, แสน, เจ็ด, หมื่น, ห้า, พัน, สี่, ร้อย, ยี่, สิบ, สาม
ห้าร้อยสิบสี่ล้านหนึ่งแสนสี่หมื่นหนึ่งพันสองร้อยสี่สิบห้า	hâa rɔ́ɔi sìp sìi láan nʉ̀ng sǎen sìi mʉ̀ʉn nʉ̀ng phan sǎawng rɔ́ɔi sìi sìp hâa	514,141,245 (five hundred fourteen million one hundred forty-one thousand two hundred forty-five)	514M + 100k + 40k + 1k + 245.	ห้า, ร้อย, สิบ, สี่, ล้าน, หนึ่ง, แสน, สี่, หมื่น, หนึ่ง, พัน, สอง, ร้อย, สี่, สิบ, ห้า
แปดร้อยแปดสิบแปดล้านห้าแสนแปดหมื่นห้าพันสี่ร้อยห้าสิบหก	bpàaet rɔ́ɔi bpàaet sìp bpàaet láan hâa sǎen bpàaet mʉ̀ʉn hâa phan sìi rɔ́ɔi hâa sìp hòk	888,585,456 (eight hundred eighty-eight million five hundred eighty-five thousand four hundred fifty-six)	888M + 500k + 80k + 5k + 456.	แปด, ร้อย, แปด, สิบ, แปด, ล้าน, ห้า, แสน, แปด, หมื่น, ห้า, พัน, สี่, ร้อย, ห้า, สิบ, หก
