THAI	ROMANIZATION	DEFINITION	NOTES	ROOTS
ห้าทุ่ม	hâa thûm	11:00 pm	11 pm at night.	ห้า, ทุ่ม
ห้าทุ่มครึ่ง	hâa thûm khrʉ̂ng	11:30 pm	11:30 pm.	ห้า, ทุ่ม, ครึ่ง
ห้าทุ่มห้าสิบเก้านาที	hâa thûm hâa sìp gâo naa-thii	11:59 pm	11:59 pm.	ห้า, ทุ่ม, ห้า, สิบ, เก้า, นาที
ตีสาม	dtii sǎam	3:00 am	3 am (pre-dawn time system using ตี + number).	ตี, สาม
ตีสี่ครึ่ง	dtii sìi khrʉ̂ng	4:30 am	4:30 am (very early morning).	ตี, สี่, ครึ่ง
ตีห้า	dtii hâa	5:00 am	5 am early morning.	ตี, ห้า
ห้าโมงห้าสิบแปดนาที	hâa moong hâa sìp bpàaet naa-thii	5:58 am	5:58 in the morning.	ห้า, โมง, ห้า, สิบ, แปด, นาที
เวลาเที่ยงคืน	wee-laa thîiang-kʉʉn	midnight (time)	Uses เวลา + เที่ยงคืน explicitly as a “time of midnight.”	เวลา, เที่ยงคืน, เที่ยง, คืน
ตอนนี้กี่โมง	dtaawn-níi gìi moong	what time is it now?	Everyday way to ask the time.	ตอน, นี้, กี่, โมง
เวลาเท่าไหร่	wee-laa thâo-rài	what time? (formal-ish)	Slightly more formal / textbook way to ask “what time?”.	เวลา, เท่าไหร่
ตี	dtii	to hit; strike; (time) pre-dawn marker	Base verb “to hit/strike.” In time expressions, ตี + number is used for roughly 1–5 a.m. (ตีหนึ่ง, ตีสาม, ตีห้า).	
